iter	Passed	Remaining
0	46	46191
1	46	23211
2	46	15550
3	47	11716
4	47	9417
5	47	7884
6	47	6789
7	48	5965
8	48	5326
9	48	4814
10	48	4396
11	49	4047
12	49	3752
13	49	3499
14	49	3279
15	50	3087
16	50	2918
17	50	2768
18	51	2633
19	51	2512
20	51	2402
21	51	2302
22	52	2211
23	52	2128
24	52	2051
25	52	1980
26	53	1914
27	53	1853
28	53	1796
29	53	1743
30	54	1693
31	54	1646
32	54	1602
33	54	1561
34	55	1523
35	55	1486
36	55	1451
37	56	1418
38	56	1386
39	56	1357
40	56	1329
41	57	1302
42	57	1276
43	58	1263
44	58	1239
45	58	1217
46	58	1195
47	59	1174
48	59	1154
49	59	1135
50	60	1116
51	60	1098
52	60	1081
53	60	1065
54	61	1049
55	61	1033
56	61	1018
57	61	1004
58	62	991
59	62	977
60	62	964
61	62	952
62	63	939
63	63	928
64	63	917
65	64	906
66	64	895
67	64	883
68	64	872
69	64	862
70	65	853
71	65	843
72	65	834
73	65	825
74	66	816
75	66	808
76	66	800
77	67	792
78	67	784
79	67	776
80	67	769
81	68	762
82	68	755
83	68	749
84	68	741
85	69	740
86	69	733
87	70	731
88	71	728
89	71	724
90	72	721
91	72	718
92	73	715
93	73	711
94	74	708
95	74	705
96	75	703
97	76	700
98	76	697
99	77	694
100	77	692
101	77	685
102	78	684
103	79	681
104	79	679
105	80	676
106	80	673
107	81	671
108	81	668
109	82	666
110	82	664
111	83	661
112	83	658
113	84	657
114	85	654
115	85	649
116	86	649
117	86	647
118	86	642
119	87	642
120	87	638
121	88	636
122	88	631
123	88	627
124	89	623
125	89	620
126	89	617
127	89	612
128	90	609
129	90	605
130	90	602
131	91	598
132	91	595
133	91	591
134	91	588
135	92	584
136	92	581
137	92	578
138	92	574
139	93	572
140	93	569
141	93	566
142	94	563
143	94	560
144	94	558
145	95	555
146	95	553
147	95	550
148	95	547
149	96	544
150	96	541
151	96	538
152	96	536
153	97	533
154	97	531
155	97	528
156	97	525
157	98	523
158	98	520
159	98	518
160	98	515
161	99	513
162	99	511
163	99	508
164	100	506
165	100	504
166	100	501
167	100	499
168	101	497
169	101	495
170	101	493
171	101	490
172	102	489
173	102	486
174	102	484
175	103	482
176	103	480
177	103	478
178	103	476
179	104	474
180	104	472
181	104	470
182	105	468
183	105	466
184	105	465
185	105	463
186	106	461
187	106	459
188	106	457
189	107	456
190	107	454
191	107	452
192	107	451
193	108	449
194	108	447
195	108	446
196	109	444
197	109	442
198	109	440
199	109	439
200	110	437
201	110	435
202	110	434
203	111	433
204	111	431
205	111	430
206	111	428
207	112	427
208	112	425
209	112	424
210	113	422
211	113	421
212	113	419
213	113	418
214	114	416
215	114	415
216	114	413
217	114	412
218	115	410
219	115	409
220	115	408
221	116	406
222	116	405
223	116	404
224	116	402
225	117	401
226	117	400
227	117	399
228	118	397
229	118	396
230	118	395
231	118	393
232	119	392
233	119	391
234	119	389
235	120	388
236	120	387
237	120	386
238	120	384
239	121	383
240	121	382
241	121	381
242	122	380
243	122	379
244	122	377
245	122	376
246	123	375
247	123	374
248	123	372
249	123	371
250	124	370
251	124	369
252	124	368
253	124	367
254	125	365
255	125	365
256	125	364
257	126	362
258	126	361
259	126	360
260	126	359
261	127	358
262	127	357
263	127	356
264	128	355
265	128	354
266	128	353
267	128	352
268	129	350
269	129	349
270	129	348
271	129	347
272	130	346
273	130	345
274	130	344
275	130	343
276	131	343
277	131	342
278	131	341
279	132	340
280	132	339
281	132	338
282	133	337
283	133	336
284	133	335
285	133	334
286	134	333
287	134	332
288	134	331
289	134	330
290	135	329
291	135	328
292	135	327
293	135	326
294	136	325
295	136	324
296	136	323
297	136	322
298	137	321
299	137	320
300	137	319
301	138	319
302	138	318
303	138	317
304	138	316
305	139	315
306	139	314
307	139	313
308	139	312
309	140	312
310	140	311
311	140	310
312	140	309
313	141	308
314	141	307
315	141	306
316	142	306
317	142	305
318	142	304
319	142	303
320	143	302
321	143	302
322	143	301
323	144	300
324	144	299
325	144	298
326	144	298
327	145	297
328	145	296
329	145	295
330	145	294
331	146	294
332	146	293
333	146	292
334	147	291
335	147	291
336	147	290
337	147	289
338	148	288
339	148	287
340	148	287
341	148	286
342	149	285
343	149	285
344	149	284
345	150	283
346	150	283
347	150	282
348	150	281
349	151	280
350	151	280
351	151	279
352	152	278
353	152	277
354	152	277
355	152	276
356	153	275
357	153	275
358	153	274
359	153	273
360	154	272
361	154	272
362	154	271
363	154	270
364	155	270
365	155	269
366	155	268
367	156	268
368	156	267
369	156	266
370	156	266
371	157	265
372	157	264
373	157	264
374	158	263
375	158	262
376	158	262
377	158	261
378	159	260
379	159	260
380	159	259
381	160	259
382	160	258
383	160	257
384	160	257
385	161	256
386	161	255
387	161	255
388	162	254
389	162	253
390	162	253
391	162	252
392	163	251
393	163	251
394	163	250
395	163	249
396	164	249
397	164	248
398	164	248
399	165	247
400	165	246
401	165	246
402	165	245
403	166	245
404	166	244
405	166	243
406	166	243
407	167	242
408	167	241
409	167	241
410	167	240
411	168	240
412	168	239
413	168	238
414	168	238
415	169	237
416	169	236
417	169	236
418	170	235
419	170	235
420	170	234
421	170	234
422	171	233
423	171	232
424	171	232
425	171	231
426	172	231
427	172	230
428	172	230
429	173	229
430	173	229
431	173	228
432	174	227
433	174	227
434	174	226
435	174	226
436	175	225
437	175	225
438	175	224
439	176	224
440	176	223
441	176	222
442	177	222
443	177	222
444	178	222
445	178	221
446	178	221
447	179	220
448	179	220
449	179	219
450	180	219
451	180	218
452	180	218
453	181	217
454	181	217
455	181	217
456	182	216
457	182	216
458	182	215
459	183	215
460	183	214
461	183	214
462	184	213
463	184	213
464	184	212
465	185	212
466	185	211
467	185	211
468	186	210
469	186	210
470	186	209
471	186	209
472	187	208
473	187	208
474	187	207
475	188	207
476	188	206
477	188	206
478	189	205
479	189	205
480	189	204
481	190	204
482	190	204
483	190	203
484	191	202
485	191	202
486	191	202
487	192	201
488	192	200
489	192	200
490	192	199
491	193	199
492	193	199
493	193	198
494	194	198
495	194	197
496	194	197
497	195	196
498	195	196
499	195	195
500	196	195
501	196	194
502	196	194
503	197	193
504	197	193
505	197	192
506	197	192
507	198	191
508	198	191
509	198	190
510	198	190
511	199	189
512	199	189
513	199	188
514	200	188
515	200	188
516	200	187
517	201	187
518	201	186
519	201	186
520	201	185
521	202	185
522	202	184
523	202	184
524	203	183
525	203	183
526	203	182
527	203	182
528	204	181
529	204	181
530	204	180
531	205	180
532	205	179
533	205	179
534	205	178
535	206	178
536	206	178
537	206	177
538	206	177
539	207	176
540	207	176
541	207	175
542	208	175
543	208	174
544	208	174
545	208	173
546	209	173
547	209	172
548	209	172
549	209	171
550	210	171
551	210	170
552	210	170
553	211	169
554	211	169
555	211	168
556	211	168
557	212	167
558	212	167
559	212	167
560	212	166
561	213	166
562	213	165
563	213	165
564	213	164
565	214	164
566	214	163
567	214	163
568	215	162
569	215	162
570	215	161
571	215	161
572	216	161
573	216	160
574	216	160
575	216	159
576	217	159
577	217	158
578	217	158
579	218	157
580	218	157
581	218	157
582	218	156
583	219	156
584	219	155
585	219	155
586	220	154
587	220	154
588	220	153
589	220	153
590	221	153
591	221	152
592	221	152
593	222	151
594	222	151
595	222	150
596	222	150
597	223	150
598	223	149
599	223	149
600	223	148
601	224	148
602	224	147
603	224	147
604	225	146
605	225	146
606	225	146
607	225	145
608	226	145
609	226	144
610	226	144
611	226	143
612	227	143
613	227	142
614	227	142
615	227	142
616	228	141
617	228	141
618	228	140
619	229	140
620	229	139
621	229	139
622	230	139
623	230	138
624	230	138
625	230	137
626	231	137
627	231	137
628	231	136
629	231	136
630	232	135
631	232	135
632	232	134
633	232	134
634	233	134
635	233	133
636	233	133
637	234	132
638	234	132
639	234	131
640	234	131
641	235	131
642	235	130
643	235	130
644	235	129
645	236	129
646	236	129
