iter	Passed	Remaining
0	46	46200
1	46	23222
2	46	15563
3	47	11728
4	47	9430
5	47	7897
6	47	6801
7	48	5980
8	48	5341
9	48	4829
10	49	4411
11	49	4063
12	49	3768
13	49	3515
14	50	3296
15	50	3104
16	50	2935
17	51	2795
18	51	2675
19	52	2572
20	52	2462
21	53	2360
22	53	2267
23	53	2182
24	53	2104
25	54	2031
26	54	1964
27	54	1901
28	55	1843
29	55	1788
30	55	1738
31	55	1690
32	56	1646
33	56	1605
34	56	1565
35	57	1527
36	57	1491
37	57	1458
38	57	1428
39	58	1401
40	58	1372
41	59	1347
42	59	1321
43	59	1296
44	59	1272
45	60	1248
46	60	1226
47	60	1205
48	61	1185
49	61	1166
50	61	1147
51	61	1128
52	62	1116
53	62	1099
54	63	1083
55	63	1067
56	63	1052
57	63	1037
58	64	1023
59	64	1010
60	64	996
61	65	983
62	65	971
63	65	959
64	65	947
65	66	936
66	66	926
67	66	915
68	67	906
69	67	896
70	67	886
71	68	877
72	68	868
73	68	859
74	68	850
75	69	844
76	70	841
77	71	850
78	72	842
79	72	833
80	72	825
81	73	817
82	73	808
83	73	801
84	73	793
85	74	786
86	74	779
87	74	772
88	74	766
89	75	759
90	75	753
91	75	746
92	75	740
93	76	734
94	76	728
95	76	722
96	76	716
97	77	710
98	77	704
99	77	699
100	77	694
101	78	688
102	78	683
103	78	678
104	79	674
105	79	669
106	79	664
107	80	660
108	80	656
109	80	651
110	80	647
111	81	643
112	81	638
113	81	634
114	82	631
115	82	627
116	82	623
117	82	619
118	83	615
119	83	612
120	84	616
121	85	612
122	85	608
123	85	605
124	85	601
125	86	598
126	86	594
127	86	591
128	87	587
129	87	584
130	87	581
131	88	579
132	88	577
133	89	576
134	89	574
135	90	573
136	90	572
137	91	570
138	91	568
139	92	567
140	93	566
141	93	564
142	93	563
143	94	562
144	95	561
145	95	560
146	96	558
147	96	557
148	97	556
149	98	555
150	98	554
151	99	553
152	99	552
153	100	551
154	100	550
155	101	549
156	102	548
157	102	547
158	103	545
159	103	544
160	103	541
161	104	541
162	105	540
163	106	540
164	106	540
165	107	539
166	107	538
167	108	537
168	109	536
169	109	535
170	110	534
171	110	532
172	110	530
173	111	527
174	111	525
175	111	522
176	111	520
177	112	518
178	112	515
179	112	513
180	112	511
181	113	509
182	113	506
183	113	504
184	114	502
185	114	500
186	114	498
187	114	496
188	115	494
189	115	492
190	115	490
191	115	488
192	116	486
193	116	484
194	116	482
195	117	480
196	117	479
197	117	477
198	118	475
199	118	474
200	119	473
201	119	471
202	119	469
203	119	468
204	120	466
205	120	464
206	120	462
207	121	461
208	121	459
209	121	457
210	121	456
211	122	454
212	122	453
213	122	451
214	123	449
215	123	448
216	123	446
217	124	445
218	124	443
219	124	441
220	124	440
221	125	439
222	125	438
223	125	436
224	126	434
225	126	433
226	126	431
227	127	430
228	127	429
229	128	428
230	129	429
231	129	429
232	130	429
233	131	429
234	131	428
235	132	428
236	132	427
237	133	427
238	133	426
239	134	425
240	135	425
241	135	424
242	136	424
243	136	423
244	137	423
245	137	422
246	138	421
247	138	421
248	139	420
249	140	421
250	141	420
251	141	420
252	142	419
253	142	419
254	143	418
255	143	418
256	144	417
257	145	417
258	145	416
259	146	416
260	146	415
261	147	414
262	147	414
263	148	413
264	148	413
265	149	412
266	150	411
267	150	411
268	151	410
269	151	410
270	152	409
271	152	409
272	153	408
273	153	407
274	154	407
275	154	406
276	155	406
277	156	405
278	156	404
279	157	404
280	157	403
281	158	403
282	158	402
283	159	401
284	159	401
285	160	400
286	161	400
287	162	400
288	162	400
289	162	399
290	163	397
291	163	396
292	163	395
293	164	394
294	165	394
295	165	393
296	165	392
297	165	390
298	166	389
299	166	388
300	166	387
301	167	386
302	167	384
303	167	383
304	167	382
305	168	381
306	168	380
307	168	378
308	168	377
309	169	376
310	169	375
311	169	374
312	169	373
313	170	371
314	170	370
315	170	369
316	171	368
317	171	367
318	171	366
319	171	365
320	172	364
321	172	363
322	172	361
323	173	361
324	173	360
325	173	359
326	174	358
327	174	357
328	174	356
329	174	355
330	175	354
331	175	352
332	176	352
333	176	351
334	176	350
335	176	349
336	177	348
337	177	347
338	177	346
339	178	345
340	178	344
341	178	343
342	178	342
343	179	341
344	179	340
345	179	339
346	179	338
347	180	337
348	180	336
349	180	335
350	180	334
351	181	333
352	181	332
353	181	331
354	181	330
355	182	329
356	182	328
357	182	327
358	183	326
359	183	325
360	183	324
361	183	324
362	184	323
363	185	324
364	186	323
365	186	322
366	186	322
367	187	321
368	187	320
369	187	319
370	187	318
371	188	318
372	188	317
373	189	316
374	189	315
375	189	315
376	190	314
377	190	313
378	191	314
379	192	313
380	192	313
381	193	312
382	193	311
383	193	310
384	194	310
385	194	309
386	194	308
387	196	309
388	196	309
389	197	309
390	198	308
391	198	307
392	198	306
393	199	306
394	199	305
395	199	304
396	199	303
397	200	302
398	200	301
399	200	300
400	200	300
401	201	299
402	201	298
403	201	297
404	201	296
405	202	295
406	202	295
407	202	294
408	203	293
409	203	292
410	203	291
411	203	290
412	204	290
413	204	289
414	204	288
415	204	287
416	205	286
417	205	285
418	205	285
419	205	284
420	206	283
421	206	282
422	206	281
423	207	281
424	207	280
425	207	279
426	207	278
427	208	278
428	208	277
429	208	276
430	208	275
431	209	275
432	209	274
433	209	273
434	210	272
435	210	272
436	210	271
437	211	271
438	213	272
439	213	272
440	214	272
441	215	271
442	215	270
443	215	270
444	215	269
445	216	268
446	216	267
447	216	267
448	217	266
449	217	265
450	217	264
451	217	264
452	218	263
453	218	262
454	218	261
455	218	261
456	219	260
457	219	259
458	219	258
459	219	258
460	220	257
461	220	256
462	220	255
463	221	255
464	221	254
465	221	253
466	221	253
467	222	252
468	222	251
469	222	251
470	222	250
471	223	249
472	223	248
473	223	248
474	223	247
475	224	246
476	224	246
477	224	245
478	225	244
479	225	244
480	225	243
481	225	242
482	226	241
483	226	241
484	226	240
485	226	239
486	227	239
487	227	238
488	227	237
489	227	237
490	228	236
491	228	235
492	228	235
493	228	234
494	229	233
495	229	233
496	229	232
497	230	231
498	230	231
499	230	230
500	230	229
501	231	229
502	231	228
503	231	227
504	231	227
505	232	226
506	232	225
507	232	225
508	232	224
509	233	224
510	233	223
511	233	222
512	233	222
513	234	221
514	234	220
515	234	220
516	235	219
517	235	218
518	235	218
519	235	217
520	236	217
521	236	216
522	236	215
523	237	215
524	237	214
525	237	214
526	237	213
527	238	212
528	238	212
529	238	211
530	238	211
531	239	210
532	239	209
533	239	209
534	239	208
535	240	207
536	240	207
537	240	206
538	241	206
539	241	205
540	241	204
541	241	204
542	242	203
543	242	203
544	242	202
545	242	202
546	243	201
547	243	200
548	243	200
549	244	199
550	244	199
551	244	198
552	244	197
553	245	197
554	245	196
555	245	196
556	245	195
557	246	194
558	246	194
559	246	193
560	246	193
561	247	192
562	247	192
563	247	191
564	247	190
565	248	190
566	248	189
567	248	189
568	249	188
569	249	188
570	249	187
571	249	186
572	250	186
573	250	185
574	250	185
575	250	184
576	251	184
577	251	183
578	252	183
579	253	183
580	253	183
581	254	182
582	255	182
583	255	182
584	256	181
585	257	181
586	259	182
587	259	181
588	260	181
589	261	181
590	261	181
591	262	180
592	262	180
593	263	180
594	263	179
595	264	179
596	265	179
597	265	178
598	266	178
599	266	177
600	267	177
601	268	177
602	268	176
603	269	176
604	269	176
605	270	175
606	271	175
607	271	175
608	272	175
609	273	174
610	273	174
611	273	173
612	274	172
613	274	172
614	274	171
615	274	171
616	275	170
617	275	170
618	275	169
619	276	169
620	276	168
621	277	168
622	277	168
623	278	168
624	279	167
625	279	166
626	279	166
627	280	166
628	280	165
629	280	164
630	281	164
631	281	164
632	281	163
633	282	162
634	282	162
635	282	161
636	283	161
637	283	160
638	283	160
639	283	159
640	284	159
641	284	158
642	284	158
643	284	157
644	285	156
645	285	156
646	285	155
647	285	155
648	286	154
649	286	154
650	286	153
651	287	153
652	287	152
653	287	152
654	287	151
655	288	151
656	288	150
657	288	150
658	288	149
659	289	148
660	289	148
661	289	147
662	289	147
663	290	146
664	290	146
665	290	145
666	290	145
667	291	144
668	291	144
669	291	143
670	292	143
671	292	142
672	293	142
673	293	141
674	293	141
675	293	140
676	294	140
677	294	139
678	294	139
679	295	138
680	295	138
681	295	137
682	295	137
683	296	136
684	296	136
685	296	135
686	297	135
687	297	134
688	297	134
689	297	133
690	298	133
691	298	132
692	298	132
693	299	131
694	299	131
695	299	130
696	299	130
697	300	129
698	300	129
699	300	128
700	300	128
701	301	127
702	301	127
703	301	126
704	302	126
705	302	125
706	303	125
707	303	125
708	303	124
709	303	124
710	304	123
711	305	123
712	305	123
713	306	122
714	306	122
715	307	121
716	307	121
717	308	121
718	308	120
719	309	120
720	310	120
721	310	119
722	311	119
723	311	118
724	312	118
725	312	118
726	313	117
727	313	117
728	313	116
729	314	116
730	314	115
731	314	115
732	314	114
733	315	114
734	315	113
735	315	113
736	316	112
737	316	112
738	316	111
739	316	111
740	317	110
741	317	110
742	317	109
743	318	109
744	318	108
745	318	108
746	318	108
747	319	107
748	319	107
749	319	106
750	320	106
751	320	105
752	320	105
753	320	104
754	321	104
755	321	103
756	322	103
757	322	102
758	322	102
759	322	101
760	323	101
761	323	101
762	323	100
763	324	100
764	324	99
765	324	99
766	325	98
767	325	98
768	325	97
769	325	97
770	326	96
771	326	96
772	326	95
773	327	95
774	327	95
775	327	94
776	327	94
777	328	93
778	328	93
779	328	92
780	329	92
781	329	91
782	329	91
783	329	90
784	330	90
785	330	89
786	330	89
787	331	89
788	331	88
789	331	88
790	331	87
791	332	87
792	332	86
793	332	86
794	333	85
795	333	85
796	333	85
797	334	84
798	334	84
799	334	83
800	334	83
801	336	82
802	336	82
803	336	82
804	336	81
805	337	81
806	337	80
807	337	80
808	337	79
809	338	79
810	338	78
811	338	78
812	338	77
813	339	77
814	339	77
815	339	76
816	340	76
817	340	75
818	340	75
819	340	74
820	341	74
821	341	73
822	341	73
823	341	73
824	342	72
825	342	72
826	342	71
827	342	71
828	343	70
829	343	70
830	344	70
831	345	69
832	345	69
833	346	68
834	346	68
835	346	68
836	346	67
837	347	67
838	347	66
839	347	66
840	348	65
841	348	65
842	348	64
843	348	64
844	349	64
845	349	63
846	349	63
847	349	62
848	350	62
849	350	61
850	350	61
851	351	60
852	351	60
853	351	60
854	351	59
855	352	59
856	352	58
857	352	58
858	353	57
859	353	57
860	353	57
861	353	56
862	354	56
863	354	55
864	354	55
865	354	54
866	355	54
867	355	54
868	355	53
869	356	53
870	356	52
871	356	52
872	356	51
873	357	51
874	357	51
875	357	50
876	358	50
877	358	49
878	358	49
879	358	48
880	359	48
881	359	48
882	360	47
883	360	47
884	360	46
885	361	46
886	361	46
887	361	45
888	362	45
889	362	44
890	362	44
891	362	43
892	363	43
893	363	43
894	364	42
895	364	42
896	364	41
897	365	41
898	365	41
899	365	40
900	365	40
901	366	39
902	366	39
903	366	38
904	366	38
905	367	38
906	367	37
907	367	37
908	368	36
909	368	36
910	368	36
911	368	35
912	369	35
913	369	34
914	369	34
915	369	33
916	370	33
917	370	33
918	370	32
919	371	32
920	371	31
921	371	31
922	371	31
923	372	30
924	372	30
925	372	29
926	372	29
927	373	28
928	373	28
929	373	28
930	374	27
931	374	27
932	374	26
933	374	26
934	375	26
935	375	25
936	375	25
937	376	24
938	376	24
939	376	24
940	377	23
941	378	23
942	378	22
943	379	22
944	380	22
945	381	21
946	381	21
947	382	20
948	383	20
949	383	20
950	383	19
951	384	19
952	384	18
953	384	18
954	384	18
955	385	17
956	385	17
957	385	16
958	385	16
959	386	16
960	386	15
961	386	15
962	386	14
963	387	14
964	387	14
965	387	13
966	388	13
967	388	12
968	388	12
969	388	12
970	389	11
971	389	11
972	389	10
973	390	10
974	390	10
975	390	9
976	391	9
977	391	8
978	391	8
979	391	7
980	392	7
981	392	7
982	392	6
983	392	6
984	393	5
985	393	5
986	393	5
987	393	4
988	394	4
989	394	3
990	395	3
991	395	3
992	395	2
993	396	2
994	396	1
995	396	1
996	397	1
997	397	0
998	397	0
999	397	0
